issue,date,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,sale,pool
2026001,2026-01-01,2,5,6,11,24,25,27,32,34,35,39,41,44,51,54,62,70,71,72,75,0.0,0.0
2026002,2026-01-02,3,8,10,17,22,24,25,28,39,51,61,62,67,69,70,71,72,73,74,80,0.0,0.0
2026003,2026-01-03,2,7,14,16,22,25,28,31,39,42,47,53,54,55,61,68,69,72,73,78,0.0,0.0
2026004,2026-01-04,4,5,9,13,16,21,23,24,32,35,37,38,45,50,52,54,55,62,63,64,0.0,0.0
2026005,2026-01-05,7,8,9,14,18,21,24,26,33,35,41,43,49,54,56,59,60,63,68,76,0.0,0.0
2026006,2026-01-06,3,5,7,9,19,28,30,32,34,38,49,52,56,61,62,66,73,76,78,79,0.0,0.0
2026007,2026-01-07,3,13,15,18,20,21,25,32,42,43,45,54,57,62,63,68,72,74,76,80,0.0,0.0
2026008,2026-01-08,2,4,15,20,21,23,24,34,47,50,51,52,57,58,60,61,66,71,77,79,0.0,0.0
2026009,2026-01-09,3,4,8,17,18,31,34,37,42,46,47,55,56,61,65,70,74,75,76,80,0.0,0.0
2026010,2026-01-10,6,7,13,16,19,27,33,37,39,42,43,44,55,59,62,64,65,67,76,80,0.0,0.0
2026011,2026-01-11,1,3,12,16,22,25,27,30,32,49,52,56,59,61,62,63,66,68,69,79,0.0,0.0
2026012,2026-01-12,4,11,12,15,16,20,21,26,27,28,30,32,33,41,53,60,62,64,65,76,0.0,0.0
2026013,2026-01-13,1,5,9,10,11,12,14,15,16,22,28,32,37,41,44,64,72,77,78,80,0.0,0.0
2026014,2026-01-14,6,12,13,14,18,24,28,29,30,34,38,43,49,52,59,60,64,74,78,80,0.0,0.0
2026015,2026-01-15,2,8,9,11,14,17,18,19,27,29,31,34,36,41,55,60,64,70,72,79,0.0,0.0
2026016,2026-01-16,4,19,24,27,28,35,36,38,39,45,50,56,58,59,60,61,64,66,73,78,0.0,0.0
2026017,2026-01-17,11,15,28,33,36,37,38,46,47,50,51,52,61,62,63,67,68,71,73,80,0.0,0.0
2026018,2026-01-18,11,12,14,15,18,21,22,23,29,32,33,35,40,41,55,65,69,74,75,78,0.0,0.0
2026019,2026-01-19,16,20,21,23,24,37,48,51,52,53,54,59,60,62,66,68,75,76,77,78,0.0,0.0
2026020,2026-01-20,7,13,18,22,24,30,32,33,37,43,47,48,52,62,63,67,69,73,78,79,0.0,0.0
2026021,2026-01-21,4,5,6,9,10,11,14,19,21,31,34,43,45,48,51,53,56,60,65,70,0.0,0.0
2026022,2026-01-22,2,9,10,11,15,16,17,18,28,33,35,43,54,55,60,61,63,65,68,73,0.0,0.0
2026023,2026-01-23,9,13,17,27,28,31,36,39,42,45,50,55,57,61,67,68,73,74,75,79,0.0,0.0
2026024,2026-01-24,3,8,16,19,22,25,28,35,36,37,49,50,52,54,57,58,64,67,71,73,0.0,0.0
2026025,2026-01-25,2,3,4,6,8,13,17,20,21,25,26,29,34,40,47,49,51,58,59,69,0.0,0.0
2026026,2026-01-26,2,6,14,17,21,22,26,34,35,36,48,51,52,58,60,62,71,73,75,76,0.0,0.0
2026027,2026-01-27,1,4,7,14,18,26,28,37,38,49,51,58,61,62,64,67,71,75,76,79,0.0,0.0
2026028,2026-01-28,9,11,14,16,17,20,28,30,32,33,46,51,54,57,58,62,66,68,71,74,0.0,0.0
2026029,2026-01-29,1,4,11,15,19,27,29,31,33,39,43,45,52,58,65,67,69,73,75,77,0.0,0.0
2026030,2026-01-30,2,8,12,13,14,16,23,31,37,39,44,46,50,54,55,59,61,69,70,73,0.0,0.0
2026031,2026-01-31,8,10,15,22,25,26,35,42,43,45,47,52,56,57,62,63,72,76,78,80,0.0,0.0
2026032,2026-02-01,2,4,9,22,24,26,27,28,31,34,36,39,43,44,53,55,59,62,65,70,0.0,0.0
2026033,2026-02-02,2,3,8,10,16,19,20,21,29,30,33,34,36,48,53,54,55,58,59,76,0.0,0.0
2026034,2026-02-03,4,6,19,25,26,29,30,31,32,43,44,48,50,62,65,66,68,71,72,80,0.0,0.0
2026035,2026-02-04,5,7,18,19,23,24,29,32,34,47,48,53,57,62,64,65,70,72,77,80,0.0,0.0
2026036,2026-02-05,3,11,19,27,32,33,35,38,43,46,49,50,63,64,66,67,74,75,76,77,0.0,0.0
2026037,2026-02-06,6,7,8,17,24,25,27,28,29,34,40,41,49,53,57,58,60,67,69,72,0.0,0.0
2026038,2026-02-07,3,4,5,6,7,9,11,20,21,26,36,44,46,47,54,68,73,74,75,80,0.0,0.0
2026039,2026-02-08,3,5,13,17,22,27,36,38,40,43,49,50,51,61,62,64,68,73,78,80,0.0,0.0
2026040,2026-02-09,12,13,16,24,31,32,35,37,41,43,48,50,51,55,64,66,68,73,76,79,0.0,0.0
2026041,2026-02-10,8,12,17,18,23,24,25,26,27,28,30,31,38,41,46,56,66,68,69,79,0.0,0.0
